Word,Part of Speech,Meaning,Example (Wolaytta),Example (English)
attidaagaa,noun,men (plural)%,"Yuushshanchcha attuma asay, pattenna.","Men, who are wandering from place to place, are good for nothing.
attuma na'aa%1. noun%"
attidaagaa,noun,son; boy%,"Ta kifiliyan macca naatuppe daro attuma naati 
de'oosona.",There are more boys than girls in my class.
attuma,adjective,male; masculine%,"Issi naa''u attuma naatinne issi macca 
na'iya de'oosona.",She has two male children and one female child.
attumatettaa,noun,"penis, genital organ of male%(syn) [shemppuwa]%",,
attumatettaa,noun,"manliness; manhood
awa ayfiya%1. noun%",,
attumatettaa,noun,sun %,"Neeni awa ayfiya xeelliyabaa gidikko, ayfiya qohana.","If you look at the sun, you will hurt your eyes."
awaanakko,adverb,somewhere%,"Anaaxee madooshaa awaanakko emere baggaara 
wottiis.",The carpenter put the hammer somewhere in the backyard.
awaanee,adverb,where%,Maxaafay awaanee de'iyoy?,Where is the book?
awaankka,adverb,wherever; everywhere%,"Katama giddoppe qumaa shammanaayyoo 
awankka xayakka.","If you want to buy food in towns, you can find it wherever 
you go."
awanne,adverb,anywhere; everywhere%,Awanne booppa. Son gam''a.,"Don't go 
anywhere. Stay at home."
awudekka,adverb,whenever%,"Awudekka tamaare keettaa baydda oorattabaa 
tamaaranawu giigettana koshshees.","Whenever you go to school, you have to be 
ready to learn new things."
awudenne,adverb,"anytime, whenever, some time in the future%","Neeni awudenne
he uteeliya biikko, mattoyenna ushshaa demmana danddayaasa.","Whenever you go to
that hotel, you can get soft drinks."
awugee,pronoun,which%,Ne kaalo ishay awugee?,"Which one is your younger 
brother?"
awunna,pronoun,which (for female)%,"Maccaasiya awunna maxaafaa nabbabaydda 
takkadee?",Which woman was reading the book?
awuppe,adverb,"where, at what place%","Ha""i nu miishshaa awppe ekkanee?","Where can we get money now?
awutiya kiyiis%1. transitive verb%"
awuppe,adverb,revenge; avenge; retaliate%,"I ba shooro 
asaa bolli wonjjalaa oottida bitaniya bolla awtiya kiyiis.","He took revenge on 
the man for the crimes he did against the people in the neighboring places.
ay asinne%1. pronoun%"
awuppe,adverb,everybody; everyone%,Ay asinne de'anawu miishsha koyees.,"Everybody needs money to survive.
ayba gidikkonne%1. adverb%"
awuppe,adverb,"by any means, whatever happens%","Ayba gidikkonne 
taani hachchi simmana.","By any means, I will be back today."
aybakko,pronoun,something%,"Motoriyan aybakko meto malay xayikko, kaamee 
laagettanawu danddayees.","If there is not something wrong with the engine, the 
car can be driven."
aybi,pronoun,what (nominative)%,Hegaappe simmin aybi hanidee?,"What 
happened after that?
ayfe qofaa%1. noun%"
aybi,pronoun,gist; essence; summary%,"Xuufiyayyoo ayfe qofay maara 
wodhdhenna.",The gist of the essay was not clearly stated.
ayfettiya,adjective,main%,"Tanaara gayttida ayfettiya metoy kompiwuteriyan 
go'ettada xaafanaw danddayennaagaa.","The main problem I face is that I cannot 
write using the computer.
ayfiya sahuwa%1. noun%"
ayfettiya,adjective,"eye sickness, eye ache%",A ayfiya sahoy toolliis.,"He 
has been suffering from an eye ache."
aykaliya,noun,"quill, large feather%",aykaliya baalliya,Aykaliya quill
aylletettaa,noun,"slavery, bondage, the condition of being enslaved or a",,
aymalee,adverb,"how, how is it?%","Ne oosoy aymalee? Daro iitenna. Ufayssan 
ootaydda days.",How is your job? Not bad at all. I am enjoying it.
aymottiyagaa,noun,dreamer%,Aymottiyagee xiskkuwan diiddi aymottees.,"A 
dreamer dreams when he is asleep."
ayyaanawa,adjective,spiritual%,"Ayyoo sa'abappe attin ayyaanaawatettabi 
tishshenna.","He is strongly connected to the world in which we live, rather 
than spiritual things.
ayyaani baynna%1. adjective%"
ayyaanawa,adjective,"lacking dignity, bad-mannered and undignified%","yiillotiya, ayyaani baynna yelaga maccaasiyo","angry, lacking dignity young lady
ayyiya (ayyo) %1. adjective%"
ayyaanawa,adjective,"conceited; arrogant; proud; prideful; boastful; 
haughty; fussy%",Ayyiya uraa asi dosenna.,People do not like conceited people.
azazettenna,adjective,disobedient; defiant%,"Azazettenna na'ay darotoo 
baawan baayen seerettees.","A disobedient child is usually punished by his 
parents."
azinaa,noun,husband%,"Azinay haayqqoosappe simmin, A ba naatussi aayidan 
xalaala gidennan aawadankka oottaasu.","After her husband died, she had to act 
not only as a mother, but also as a father to her children."
aziraariya,noun,button%,A aziraaree kiyi wodhdhiis.,"His button is 
unfastened."
baa,noun,substance (indicating a substance or thing)%,"Sukkaaree 
laqilaqiyabaa.","Sugar is a sweet substance.
baa'ulattiis%1. intransitive verb%"
baa,noun,grow fat%,"Kana maray xanttaa xammidi 
baa'ulattiis.","Sucking on its mother, the puppy became fatter and fatter."
baaduwa,noun,"revenge, to punish somebody in retaliation for harm or injury",,
baajiya,noun,badge%,"Beero oosanchcha ubbaykka sunttaa baajiya qooriyara 
aattana koshshees.","All the officers should wear name badges.
baakko dafiis%1. transitive verb%"
baajiya,noun,attract%,Maaginetee birataa baako dafees.,"Magnets attract metals.
baali hellellee%1. noun%"
baajiya,noun,cultural song%,"Baali hellellee gifaata/masqqala 
yettaa.","'Bali helele' is a cultural song played during the time of the yearly 
Cross Anniversary."
baaligiya,noun,"rude, ill-mannered%",Neeni baalige kiyoppa.,"You don't be 
rude!"
baalimoolaa,noun,"councilor (of a king), house of representative member%",Wolaytta kawotettaa wode baalimoolay kawuwara uttidi dere doonaa haasayees.,"In
the time of Wolaita kingdom, the house of representative work on behalf of 
people."
baalliya,noun,feather; plumage%,Kafuwa baalliyan kamettiis.,"The bird is 
covered with feathers."
barssuwa,noun,"chase; pursuit%(syn) [goodaa, yedetaa.]%",,
barssuwa,noun,"frightening 
sound, a sound made to frighten or scare a person (boo)",,
baaso,adjective,"main%(syn) [waanna, kane, kuushsha, denddo, gul''a qofaa, 
kulkka, ayfe, bira]%(syn) [denddo.]
baatire shuchchaa%1. noun%",,
baaso,adjective,battery%,"Baatire shuchchay daro layttappe kase 
merettiis.",The electric battery was invented many years ago.
babbanttaa,noun,aardvark%,Babbanttay ollataa maanaw biittaa bookkees.,"An
aardvark digs the ground to eat termites."
babettaa,noun,"fear; fright; dread; terror%(syn) [qexe guussaa, yashshaa]%
(syn) [barggaagettaa, bizhggamaa, dozhggu geettaa, waabbaqettaa, bobaraa.]
badala buttuwa%1. noun%",,
babettaa,noun,verruca; plantar wart%,Badala buttoy tohuwan kiyees.,Verruca is a wart that grows on the foot.
badhdheesaa,noun,"autumn, a season for sowing crops%","Toophphiyan 
badhdheesay saphiyan bukkees.","In Ethiopia, seasonal rain begins in autumn."
baganaa,noun,harp%,Taani baganaa kaa'iyoogaa tamaarays.,"I'm learning to 
play the harp."
bagga,adjective,half%,Nuuni laaxaa bagga kilo ashuwa miida.,"We ate half 
a kilo of meat for lunch.
baggatiya payduwa%1. adjective%"
bagga,adjective,even number%,Paydo oydday baggattiya paydo.,The number 4 is an even number.
bakkallaa,noun,"clove, a small separate section of garlic%○ tuummuwa",,
bakkannaa,noun,five cent coin%,"Naa""u bakkannay issi santte.","Two five-
cent coins make ten cents."
baktteeriya,noun,bacteria%,Bakteeree baktteeremiyassi corayissuwa.,Bacteria is the plural form of bacterium.
balakkiyo,noun,stepdaughter%,Meqettaa iita macaasiya balakkiyo qohawsu.,The cruel mother treats her stepdaughter badly.
balakkuwa,noun,stepchild%,Laataa heeran balakkoy yuu'ettees.,Stepchildren are mistreated at inheritance time.
balbbuqettaa,noun,"ruin, complication, making something complex or difficult
%",,
balbbuqettaa,noun,confusion%(syn) [dabuluuqettaa.],,
balettiyabaa,noun,distraction%,"Daro balettiyabati son de'iy gishshawu 
taayyoo oottanaw deexxidi beettiis.","I find it difficult to work at home as 
there are too many distractions."
balgguwa,noun,"autumn, rainy season, season after summer and before winter%",Balgguwan iray bukkees.,It rains in the rainy season.
bambballooma,adjective,"big; great; huge; massive; large; tall; awesome%
(syn) [wogga, gita, xawulle, gagate, gagisa, maagula, axxo, axuma, dada, 
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, xawudala, manne, geere,
xekese, xoyllo, tennejja, yaakula, baa'ula, xettemere, yam''araara, axuure, 
xankkula, teebuxa, yambbulla, bobboxaama, bam''ula, ananoote, baadoochche, 
dawulla, ga'usha, abuulla, yambbareessa, anuuca, banne, gachchaama, moydore, 
tuqa, xul''eebba, ban''a, ordde, tonne, xambbalaqa, dalbba, sannaca, 
xaamoochche, xalbbuqa, naanno, wolqqaama, deexo%(syn) [yalamusa, yalddoora, 
lasassa.]
bana axisenna%1. adjective%",,
bambballooma,adjective,"ascetic, choosing or reflecting austerity and self-",,
banddiraa,noun,flag; banner%,"Nu biittaa banddiray maata mala, addil''e 
ciishshanne zo'o.","Our country's flag is green, yellow, and red."
banddiya,noun,band%,Bitanee banddiyan yettanchcha.,"The man is a singer 
in the band."
bankkiya,noun,bank%,Bankkee miishshaa wottiyosaa.,"A bank is a place 
where we deposit money."
baqettaa,noun,cord; string%,Hagaa baqettaa hegaara gatta.,"Tie this piece
of string to that piece of string."
baqettiya,adjective,mad; crazy%,Baqettiya bitanee ciimman guppidi geliis.,"The mad man jumped into deep water.
baqqi oyqqiya%1. adjective%"
baqettiya,adjective,tight%,baqqi oyqqiya maayuwa,tight clothes
baquluwa,noun,mule; hinny%,Baquloy mayne.,Mules are sterile.
barchchiya,noun,hardship; misery; disaster; suffering; plague; trouble;,,
barggiya,noun,dilemma%,"A oosuwa yedda simmada, barggiyan gelaasu.","After 
quitting her job, she was caught in a dilemma."
barqqaa,noun,"uterine vaginal prolapse%(syn) [burqqiya, gelaa.]%",,
barqqaa,noun,"fistula, 
congenital malformation",,
baruwa,noun,"leprosy, an infectious disease that affects the skin and nerves
%",Baroy yeletaappe yeletawu aadhdhiya hargge gidenna.,"Leprosy is not a 
hereditary disease."
bassuwa,noun,spiced barley flour%,Nuuni bassuwa meettees.,"We eat spiced 
barley flour."
ida,adjective,heated (by fire)%,baw'ida tamaa,heated fire
bawunddiya,noun,ten birr%,Bawunddee tammu bira.,"'Bawnd' is equals ten 
birr."
bawutaa,noun,"carcass, dead body of animals, especially cattle, goats, and 
sheep which were not killed for their meat%",Godaree bawutaa mees.,"Hyenas feed
on carcasses."
bawwiya,noun,"burl, small lump or knot%",Mittaa bolli bawwee de'ees.,"The 
tree had a burl."
baylibayla,adjective,inconsistent; inconstant; unfaithful; changeable;,,
bayooloojiya,noun,biology%,"Bayooloojee de'oora diya ubba qommo meretata 
pilggiyagaa.",Biology is the study of all forms of life.
bazzidobaa,noun,"legacy, bequest made in an inheritance will, money or 
property that is left to somebody in a will%","Naati huuphiyan huuphiyan etawu 
bazzido 10,000.00 biraa ekkidosona.","Each of the children received an 
inheritance of 10,000.00 birr."
beeba,adverb,"brand-new, completely new and unused%","Hagee caammay ooratta 
beeba.",This shoe is brand new.
beelibeela,adjective,inconspicuous; obscure%,"Banddiray haahuwan eqqidi 
xeelliyo wode beelibeela gididi beettiis.","When it was looked at from a 
distance, the flag was inconspicuous."
beeluwa,noun,wedding dress%,"A ba bullachchaa gallassi puulattida beeluwa 
maayaasu.","She wore a beautiful wedding dress.
beete meqidesiya%1. noun%"
beeluwa,noun,temple%,Xoossaa beete meqidesiya,the temple of God
beete,noun,temple%,Xoossaa beete meqidesiya,the temple of God
beettaa,noun,motion%,"Otobisee beettaa bolli diishin kare kiyanaassi 
bessenna.",You must not get out of a bus while it is still in motion.
beexiya,noun,local large ax%,Beexiyan mittaa qera.,"Split the wood with a
local ax."
beexxalssaa,noun,"estrus, sexual excitement in many female mammals during 
which the animal seeks to mate%","Beexxalssaa doommida miizziyo booran gattanaw 
bessees.","When a female cow is in estrus, we should take it to the bulls."
belliya,noun,being sulky%,"Aayyiya laaxaa saatiyan immennan aggido 
gishshawu, na'ay belliya doommiis.","Because mother did not give him his lunch 
on time, the boy started being sulky.
beni beni%1. adverb%"
belliya,noun,long long ago%,"Beni beni, taani keehi qii na'a giddido 
wode, ta aawaa aayyiya taassi lo""o haysiya odaydde takkaasu.","Long long ago, 
when I was a little child, my grandmother used to tell me amazing stories.
beni taarikiya%1. noun%"
belliya,noun,legend%,"Taani haysetanne beni taarikiya issi taarike 
maxaafaappe nabbabaas.",I read the tales and legends from a history book.
beni,adverb,"long, long ago, early time, ancient time, in former days, olden",,
minttiyagaa,noun,conservative%,"Issi issi cima asay benibaa 
minttoosona.",Some old people are conservative.
bergguwa,noun,"lodge, hotel room%","A gita katamataa biyo wodiyan, bergguwan 
aqawus.","When she goes to big cities, she spends the night in lodges (hotel 
rooms).
bergguwan aqiis%1. intransitive verb%"
bergguwa,noun,lodge%,I guutta wodiya bergguwan aqiis.,"He lodged in the hotel for some time.
bergguwan aqiyagaa%1. noun%"
bergguwa,noun,lodger%,"Bergguwan aqiyageetussi algga kifilee 
injjetibeenna.",The bedroom is not comfortable for the lodgers.
bessiyagaa,noun,indicator; pointer%,"Ooratta laytta ikkonoomiya bessiyagee 
naagidoogaappe yaa iita.","The economic indicator of the new year is worse than 
expected."
bigiraa,noun,pimple; acne; spot%,Ayyoo bigiray gacuwan kiyiis.,"A pimple 
appeared on his cheek."
bii,pronoun,"you, feminine singular vocative pronoun%","Bii, na'ee, wuygiya 
pitta.","You, girl, sweep the floor."
biiraa,noun,beer%,Biiray mattoyiya ushsha.,"Beer is an alcoholic drink.
biitta asaa%1. noun%"
biiraa,noun,citizens%,Toophphiya biittaa asaa,"citizens of Ethiopia
biittaa konttiraatiya%1. noun%"
biiraa,noun,lease%,"Zal""anchchay kawotaara 90 layttaa 
biittaa konttiraatiya paramettiis.","The investor signed a lease with the 
government for 90 years.
biittaa qaattaa (biittaa qaaxuwa)%1. noun%"
biiraa,noun,earthquake%,"Biittaa qaattaa 
gaasuwan gakkida qohuwan asi ubbi dagammiis.","Everybody was shocked at the 
damage the earthquake had caused.
biittaa utettaa%1. noun%"
biiraa,noun,terrain%,Nu biittaa utettay deretees.,"Our 
country's terrain is mountainous.
biittaa xeessaa%1. noun%"
biiraa,noun,equator%,"Biittaa xeessay biittaa huphessa baggaanne 
tohossa baggaa shaakkees.","The equator divides the Earth into the northern and 
southern hemispheres."
biittaawa,noun,"landlord, land owner%","Issi issi biittaawati ciishaynnetussi
meqettaa iitoososna.",Some landlords are cruel to their tenants.
aa,noun,"moth, cloth-eating vermin%","Bil""ay maayuwa lukkees.","Moths 
eats clothes."
bilcciina,adjective,fruitless; ineffective%,bilcciina na'a,"an 
ineffective child"
biliharzziya,noun,"snail fever, bilharziasis%","Mela tohuwan biittan 
hemettiyogaappe nena biliharzziya giyo harggee oyqqanaw danddayees.","You can 
get snail fever from walking in soil barefooted."
billamaa,noun,knife%,Maccaasiya nuna billaman yashshissaasu.,"The woman 
frightened us with a knife.
binddilliis (binddibilliis)%1. transitive verb%"
billamaa,noun,"pinch, grip tightly the groin 
area or part of the body to punish children%","Qeeri na'iya wayssidaaro aayyiya 
binddillaasu.",The mother pinched the little child when disturbed.
binnaanaa,noun,hair%,"Maallado maallado nu huuphiya/binnaanaa pixxanaw 
koshshees.",We should comb our hair every morning.
birassa,adjective,"pregnant, an animal that has carried an offspring in its",,
birataa,noun,iron; metal%,"Taani keettaa keexxanawu amarida birataa 
shammaas.",I bought some iron to build a house.
birayliya,noun,"Braille, writing system for visually impaired people, a 
writing system for visionimpaired or sightless people%","Ayfee demmenna asay 
birayliya xaafoosona.",The blind write with a Braille.
birddiya,noun,"pen, sheep folds, any enclosed area where animals stay at 
night dorssaa birddiya a pen for sheep%",Dorssay birddiyan aqees.,"The sheep 
are kept in a pen."
birilliya,noun,hydromel/mead bottle%,"I oyddu birille eessaa uyidi 
mattottiis.",He was intoxicated after drinking four bottles of mead.
biron,adverb,yet%,Taani biron ooso keettaappe dabidaabbiya ekkabeykke.,"I
haven't received a letter from the office yet."
birshshiyagaa,noun,translator; interpreter%,"A nu dirijjitiyan ba aayi 
qaalaa Inggilizettuwawu birshshiyaro.","She is a translator from her mother's 
tongue into English for our organization.
biskkiliitiya (bishkkiliitiya)%1. noun%"
birshshiyagaa,noun,bicycle; bike%,"Biskkiliitiyassi naa""u 
irzziizoy de'ees.",A bicycle has two wheels.
bitaachcha,adjective,naughty; badmannered%,"Issi issi bitaachcha tamaareti 
asttamaaree tamaarissiyode wayssoosona.","Some naughty students disturb the 
class when the teacher is teaching."
bitiyaro,noun,sorceress; enchantress%,Bitiyara bitaa olawusu.,"An 
enchantress casts spells."
bixaalaa,noun,"bit, rein, bridle (for horses and mules)%","Adaraassiya paray 
bixaalaa dafikko, eqqees.","If the reins are pulled, the cantering horse will be
controlled."
bobariya,adjective,bolting%,bobariya ussiyo,a bolting heifer
bochchaa,noun,bark%,Kanaa bochchay kaysota yashissiis.,"The dog's bark 
scared away the thieves."
bohettidaagaa,noun,"outcast, friendless person, or a person rejected by a 
social group%",He bitanee ayssi bohettidabadan xeelettidee?,"Why has that man 
been treated as an outcast?
bol""iis%1. transitive verb%"
bohettidaagaa,noun,become warm%,"Ta tohuwa meecettanaw haattay 
bol""iis.","The water was warmed to wash my foot.
bol''ettiis%1. transitive verb%"
